"f_1113-1"	"Points:0"	"Points:1"	"Points:2"
2.0738	-0.5	-0.1	0
2.2648	-0.25	-0.1	0
-0.11931	0.25	-0.1	0
2.0738	0.5	-0.1	0
2.0738	0.5	0.1	0
-0.11931	0.25	0.1	0
2.2648	-0.25	0.1	0
2.0738	-0.5	0.1	0
2.1448	-0.49	-0.1	0
2.2115	-0.48	-0.1	0
2.274	-0.47	-0.1	0
2.3317	-0.46	-0.1	0
2.3845	-0.45	-0.1	0
2.4323	-0.44	-0.1	0
2.4748	-0.43	-0.1	0
2.5118	-0.42	-0.1	0
2.5433	-0.41	-0.1	0
2.5691	-0.4	-0.1	0
2.5892	-0.39	-0.1	0
2.6034	-0.38	-0.1	0
2.6117	-0.37	-0.1	0
2.6142	-0.36	-0.1	0
2.6106	-0.35	-0.1	0
2.6013	-0.34	-0.1	0
2.586	-0.33	-0.1	0
2.5649	-0.32	-0.1	0
2.538	-0.31	-0.1	0
2.5056	-0.3	-0.1	0
2.4677	-0.29	-0.1	0
2.4245	-0.28	-0.1	0
2.3761	-0.27	-0.1	0
2.3227	-0.26	-0.1	0
2.1964	-0.24	-0.1	0
2.1237	-0.23	-0.1	0
2.047	-0.22	-0.1	0
1.9662	-0.21	-0.1	0
1.8819	-0.2	-0.1	0
1.7944	-0.19	-0.1	0
1.704	-0.18	-0.1	0
1.6112	-0.17	-0.1	0
1.5162	-0.16	-0.1	0
1.4195	-0.15	-0.1	0
1.3213	-0.14	-0.1	0
1.2221	-0.13	-0.1	0
1.1224	-0.12	-0.1	0
1.0224	-0.11	-0.1	0
0.92264	-0.1	-0.1	0
0.82345	-0.09	-0.1	0
0.72526	-0.08	-0.1	0
0.62841	-0.07	-0.1	0
0.5333	-0.06	-0.1	0
0.44037	-0.05	-0.1	0
0.34986	-0.04	-0.1	0
0.26226	-0.03	-0.1	0
0.17788	-0.02	-0.1	0
0.097022	-0.01	-0.1	0
0.020046	-6.8806e-13	-0.1	0
-0.052833	0.01	-0.1	0
-0.12117	0.02	-0.1	0
-0.18491	0.03	-0.1	0
-0.24369	0.04	-0.1	0
