"f_1113-0"	"Points:0"	"Points:1"	"Points:2"
-2.3469	-0.5	-0.1	0
-0.16062	-0.25	-0.1	0
-2.2673	0.25	-0.1	0
-2.3469	0.5	-0.1	0
-2.3469	0.5	0.1	0
-2.2673	0.25	0.1	0
-0.16062	-0.25	0.1	0
-2.3469	-0.5	0.1	0
-2.2801	-0.49	-0.1	0
-2.2091	-0.48	-0.1	0
-2.1343	-0.47	-0.1	0
-2.0558	-0.46	-0.1	0
-1.974	-0.45	-0.1	0
-1.8892	-0.44	-0.1	0
-1.8016	-0.43	-0.1	0
-1.7117	-0.42	-0.1	0
-1.6197	-0.41	-0.1	0
-1.526	-0.4	-0.1	0
-1.4309	-0.39	-0.1	0
-1.3349	-0.38	-0.1	0
-1.2383	-0.37	-0.1	0
-1.1413	-0.36	-0.1	0
-1.0445	-0.35	-0.1	0
-0.94818	-0.34	-0.1	0
-0.85267	-0.33	-0.1	0
-0.75835	-0.32	-0.1	0
-0.66564	-0.31	-0.1	0
-0.5748	-0.3	-0.1	0
-0.48619	-0.29	-0.1	0
-0.40013	-0.28	-0.1	0
-0.31704	-0.27	-0.1	0
-0.23714	-0.26	-0.1	0
-0.088069	-0.24	-0.1	0
-0.019845	-0.23	-0.1	0
0.043912	-0.22	-0.1	0
0.10249	-0.21	-0.1	0
0.15592	-0.2	-0.1	0
0.2039	-0.19	-0.1	0
0.24625	-0.18	-0.1	0
0.28299	-0.17	-0.1	0
0.31385	-0.16	-0.1	0
0.3387	-0.15	-0.1	0
0.35721	-0.14	-0.1	0
0.36956	-0.13	-0.1	0
0.37571	-0.12	-0.1	0
0.37567	-0.11	-0.1	0
0.3694	-0.1	-0.1	0
0.35674	-0.09	-0.1	0
0.33778	-0.08	-0.1	0
0.31281	-0.07	-0.1	0
0.28184	-0.06	-0.1	0
0.24482	-0.05	-0.1	0
0.20222	-0.04	-0.1	0
0.15389	-0.03	-0.1	0
0.10012	-0.02	-0.1	0
0.041206	-0.01	-0.1	0
-0.022694	-6.8806e-13	-0.1	0
-0.091234	0.01	-0.1	0
-0.1643	0.02	-0.1	0
-0.24139	0.03	-0.1	0
-0.32235	0.04	-0.1	0
-0.40686	0.05	-0.1	0
-0.49458	0.06	-0.1	0
-0.58517	0.07	-0.1	0
-0.67817	0.08	-0.1	0
-0.7733	0.09	-0.1	0
-0.87017	0.1	-0.1	0
-0.9684	0.11	-0.1	0
-1.0676	0.12	-0.1	0
-1.1673	0.13	-0.1	0
-1.2673	0.14	-0.1	0
-1.367	0.15	-0.1	0
-1.466	0.16	-0.1	0
-1.5641	0.17	-0.1	0
-1.6608	0.18	-0.1	0
-1.7557	0.19	-0.1	0
-1.8484	0.2	-0.1	0
-1.9386	0.21	-0.1	0
-2.026	0.22	-0.1	0
-2.1098	0.23	-0.1	0
-2.1906	0.24	-0.1	0
-2.3342	0.26	-0.1	0
-2.397	0.27	-0.1	0
-2.4553	0.28	-0.1	0
-2.5088	0.29	-0.1	0
-2.5573	0.3	-0.1	0
-2.6007	0.31	-0.1	0
-2.6386	0.32	-0.1	0
-2.6712	0.33	-0.1	0
-2.6982	0.34	-0.1	0
-2.7193	0.35	-0.1	0
-2.7347	0.36	-0.1	0
-2.7442	0.37	-0.1	0
-2.748	0.38	-0.1	0
-2.7457	0.39	-0.1	0
-2.7374	0.4	-0.1	0
-2.7233	0.41	-0.1	0
-2.7034	0.42	-0.1	0
-2.6777	0.43	-0.1	0
-2.6463	0.44	-0.1	0
-2.6093	0.45	-0.1	0
-2.5669	0.46	-0.1	0
-2.5193	0.47	-0.1	0
-2.4666	0.48	-0.1	0
-2.409	0.49	-0.1	0
-2.3466	0.5	-0.09	0
-2.3467	0.5	-0.08	0
-2.3469	0.5	-0.07	0
-2.3467	0.5	-0.06	0
-2.3467	0.5	-0.05	0
-2.3468	0.5	-0.04	0
-2.3467	0.5	-0.03	0
-2.3468	0.5	-0.02	0
-2.3467	0.5	-0.01	0
-2.3468	0.5	-2.6559e-13	0
-2.3467	0.5	0.01	0
-2.3467	0.5	0.02	0
-2.3467	0.5	0.03	0
-2.3469	0.5	0.04	0
-2.3468	0.5	0.05	0
-2.3469	0.5	0.06	0
-2.3467	0.5	0.07	0
-2.3467	0.5	0.08	0
-2.3467	0.5	0.09	0
-2.409	0.49	0.1	0
-2.4666	0.48	0.1	0
-2.5193	0.47	0.1	0
-2.5669	0.46	0.1	0
-2.6093	0.45	0.1	0
-2.6463	0.44	0.1	0
-2.6777	0.43	0.1	0
-2.7034	0.42	0.1	0
-2.7233	0.41	0.1	0
-2.7374	0.4	0.1	0
-2.7457	0.39	0.1	0
-2.748	0.38	0.1	0
-2.7442	0.37	0.1	0
-2.7347	0.36	0.1	0
-2.7193	0.35	0.1	0
-2.6982	0.34	0.1	0
-2.6712	0.33	0.1	0
-2.6386	0.32	0.1	0
-2.6007	0.31	0.1	0
-2.5573	0.3	0.1	0
-2.5088	0.29	0.1	0
-2.4553	0.28	0.1	0
-2.397	0.27	0.1	0
-2.3342	0.26	0.1	0
-2.1906	0.24	0.1	0
-2.1098	0.23	0.1	0
-2.026	0.22	0.1	0
-1.9386	0.21	0.1	0
-1.8484	0.2	0.1	0
-1.7557	0.19	0.1	0
-1.6608	0.18	0.1	0
-1.5641	0.17	0.1	0
-1.466	0.16	0.1	0
-1.367	0.15	0.1	0
-1.2673	0.14	0.1	0
-1.1673	0.13	0.1	0
-1.0676	0.12	0.1	0
-0.9684	0.11	0.1	0
-0.87017	0.1	0.1	0
-0.7733	0.09	0.1	0
-0.67817	0.08	0.1	0
-0.58517	0.07	0.1	0
-0.49458	0.06	0.1	0
-0.40686	0.05	0.1	0
-0.32235	0.04	0.1	0
-0.24139	0.03	0.1	0
-0.1643	0.02	0.1	0
-0.091234	0.01	0.1	0
-0.022694	6.8806e-13	0.1	0
0.041206	-0.01	0.1	0
0.10012	-0.02	0.1	0
0.15389	-0.03	0.1	0
0.20222	-0.04	0.1	0
0.24482	-0.05	0.1	0
0.28184	-0.06	0.1	0
0.31281	-0.07	0.1	0
0.33778	-0.08	0.1	0
0.35674	-0.09	0.1	0
0.3694	-0.1	0.1	0
0.37567	-0.11	0.1	0
0.37571	-0.12	0.1	0
0.36956	-0.13	0.1	0
0.35721	-0.14	0.1	0
0.3387	-0.15	0.1	0
0.31385	-0.16	0.1	0
0.28299	-0.17	0.1	0
0.24625	-0.18	0.1	0
0.2039	-0.19	0.1	0
0.15592	-0.2	0.1	0
0.10249	-0.21	0.1	0
0.043912	-0.22	0.1	0
-0.019845	-0.23	0.1	0
-0.088069	-0.24	0.1	0
-0.23714	-0.26	0.1	0
-0.31704	-0.27	0.1	0
-0.40013	-0.28	0.1	0
-0.48619	-0.29	0.1	0
-0.5748	-0.3	0.1	0
-0.66564	-0.31	0.1	0
-0.75835	-0.32	0.1	0
-0.85267	-0.33	0.1	0
-0.94818	-0.34	0.1	0
-1.0445	-0.35	0.1	0
-1.1413	-0.36	0.1	0
-1.2383	-0.37	0.1	0
-1.3349	-0.38	0.1	0
-1.4309	-0.39	0.1	0
-1.526	-0.4	0.1	0
-1.6197	-0.41	0.1	0
-1.7117	-0.42	0.1	0
-1.8016	-0.43	0.1	0
-1.8892	-0.44	0.1	0
-1.974	-0.45	0.1	0
