"f_1110-0"	"Points:0"	"Points:1"	"Points:2"
-2.5813	-0.19	0.1	0
-2.5307	-0.2	0.1	0
-2.4743	-0.21	0.1	0
-2.4126	-0.22	0.1	0
-2.3454	-0.23	0.1	0
-2.2735	-0.24	0.1	0
-2.122	-0.26	0.1	0
-2.0431	-0.27	0.1	0
-1.9607	-0.28	0.1	0
-1.875	-0.29	0.1	0
-1.7865	-0.3	0.1	0
-1.6954	-0.31	0.1	0
-1.6021	-0.32	0.1	0
-1.507	-0.33	0.1	0
-1.4104	-0.34	0.1	0
-1.3128	-0.35	0.1	0
-1.2145	-0.36	0.1	0
-1.1159	-0.37	0.1	0
-1.0173	-0.38	0.1	0
-0.91926	-0.39	0.1	0
-0.82207	-0.4	0.1	0
-0.72609	-0.41	0.1	0
-0.63175	-0.42	0.1	0
-0.53939	-0.43	0.1	0
-0.44938	-0.44	0.1	0
-0.3621	-0.45	0.1	0
-0.27781	-0.46	0.1	0
-0.19694	-0.47	0.1	0
-0.11978	-0.48	0.1	0
-0.04652	-0.49	0.1	0
0.022276	-0.5	0.09	0
0.022319	-0.5	0.08	0
0.022334	-0.5	0.07	0
0.02251	-0.5	0.06	0
0.022391	-0.5	0.05	0
0.022533	-0.5	0.04	0
0.022351	-0.5	0.03	0
0.022336	-0.5	0.02	0
0.022289	-0.5	0.01	0
0.022421	-0.5	2.6559e-13	0
0.022272	-0.5	-0.01	0
0.022453	-0.5	-0.02	0
0.022321	-0.5	-0.03	0
0.022444	-0.5	-0.04	0
0.02228	-0.5	-0.05	0
0.02235	-0.5	-0.06	0
0.02252	-0.5	-0.07	0
0.022272	-0.5	-0.08	0
0.022238	-0.5	-0.09	0
-2.197	-0.25	0.09	0
-2.1968	-0.25	0.08	0
-2.1972	-0.25	0.07	0
-2.1971	-0.25	0.06	0
-2.1973	-0.25	0.05	0
-2.1969	-0.25	0.04	0
-2.1969	-0.25	0.03	0
-2.197	-0.25	0.02	0
-2.1972	-0.25	0.01	0
-2.1969	-0.25	2.6559e-13	0
-2.197	-0.25	-0.01	0
-2.1971	-0.25	-0.02	0
-2.1969	-0.25	-0.03	0
-2.197	-0.25	-0.04	0
-2.1972	-0.25	-0.05	0
-2.1971	-0.25	-0.06	0
-2.1971	-0.25	-0.07	0
-2.1969	-0.25	-0.08	0
-2.197	-0.25	-0.09	0
-0.070759	0.25	0.09	0
-0.070972	0.25	0.08	0
-0.070608	0.25	0.07	0
-0.070634	0.25	0.06	0
-0.070612	0.25	0.05	0
-0.070791	0.25	0.04	0
-0.070914	0.25	0.03	0
-0.070836	0.25	0.02	0
-0.070584	0.25	0.01	0
-0.070865	0.25	2.6559e-13	0
-0.070858	0.25	-0.01	0
-0.070513	0.25	-0.02	0
-0.070923	0.25	-0.03	0
-0.070798	0.25	-0.04	0
-0.070634	0.25	-0.05	0
-0.070653	0.25	-0.06	0
-0.070528	0.25	-0.07	0
-0.070955	0.25	-0.08	0
-0.070741	0.25	-0.09	0
-0.96821	-0.385	-2.0817e-17	0
-1.5856	-0.32175	0.030076	0
-1.505	-0.33021	-0.03499	0
-0.47889	-0.43669	0.036694	0
-0.49376	-0.43503	-0.035604	0
-1.1155	-0.37003	0.049478	0
-1.0385	-0.37785	-0.049604	0
-1.8317	-0.29492	-0.0076492	0
-1.8483	-0.29305	-0.056948	0
-0.29139	-0.45837	-0.0012153	0
-1.8628	-0.29139	0.058605	0
-0.76569	-0.40586	0.062681	0
-1.3522	-0.34598	-6.7803e-06	0
-0.24011	-0.46462	0.061002	0
-0.24494	-0.46401	-0.063219	0
-1.4604	-0.33483	0.063638	0
-0.61906	-0.42136	0.003541	0
-0.70703	-0.41201	-0.063567	0
-1.3408	-0.34714	-0.065353	0
-1.9218	-0.28458	0.024955	0
-0.78704	-0.40363	-0.029576	0
-0.81429	-0.4008	0.029124	0
-0.2092	-0.46845	0.030124	0
-0.21237	-0.46805	-0.030109	0
-1.2242	-0.35901	-0.026837	0
-0.50515	-0.43377	0.070492	0
-1.6172	-0.31839	-0.07132	0
-1.9721	-0.27863	-0.031587	0
-1.3257	-0.34868	0.027717	0
-0.99662	-0.38211	0.072725	0
-0.47077	-0.4376	-0.073793	0
-1.6055	-0.31963	0.0025951	0
-0.93819	-0.38807	-0.073966	0
-1.0741	-0.37424	0.023501	0
-1.7438	-0.30472	-0.031175	0
-1.6757	-0.31213	0.074854	0
-1.9999	-0.27528	-0.073361	0
-1.2424	-0.35717	0.075386	0
-2.0088	-0.27422	0.07514	0
-2.004	-0.27479	0.004924	0
-0.46789	-0.43792	-0.014188	0
-1.6638	-0.31341	0.049858	0
-2.0207	-0.27277	0.045439	0
-1.0012	-0.38164	-0.022746	0
-1.1665	-0.36486	-0.078753	0
-0.44181	-0.44086	0.014626	0
-0.13979	-0.47737	0.010852	0
-1.8023	-0.29823	-0.078284	0
-2.025	-0.27225	-0.051342	0
-0.13364	-0.47818	0.078117	0
-0.13294	-0.47827	-0.078241	0
-0.13489	-0.47797	-0.011227	0
-1.7666	-0.30221	0.019628	0
-1.6371	-0.31627	-0.049725	0
-0.91031	-0.39092	0.047146	0
-0.13224	-0.47834	0.047721	0
-0.12938	-0.47875	-0.048669	0
-0.65029	-0.41802	0.039271	0
-0.67625	-0.41526	0.080487	0
-1.3229	-0.34897	-0.045621	0
-1.4962	-0.33113	-0.015208	0
-1.1798	-0.36352	-0.0053262	0
-0.83282	-0.39888	-0.047258	0
-0.78276	-0.40408	-0.0074599	0
-0.3437	-0.45215	0.07884	0
-1.4473	-0.33619	0.041007	0
-0.64591	-0.41848	-0.046997	0
-0.57711	-0.42589	0.025674	0
-1.7538	-0.30363	0.037827	0
-0.32195	-0.45471	0.04495	0
-0.32534	-0.4543	-0.045729	0
-1.4548	-0.33543	-0.080225	0
-0.33962	-0.45263	-0.080643	0
-1.8622	-0.29149	0.082065	0
-1.4648	-0.33439	0.015223	0
-2.0624	-0.2676	-0.014953	0
-0.65109	-0.41793	-0.08286	0
-0.62951	-0.42024	-0.027206	0
-1.5103	-0.32966	0.080904	0
-1.308	-0.3505	0.054274	0
-1.6732	-0.3124	-0.013656	0
-0.49785	-0.43458	-0.052184	0
-0.8358	-0.39858	0.08125	0
-1.4693	-0.33392	-0.051634	0
-0.778	-0.40457	0.01083	0
-1.2329	-0.35813	0.012641	0
-0.3239	-0.45447	-0.017407	0
-1.1752	-0.36399	-0.060587	0
-0.5341	-0.43058	0.052722	0
-2.0647	-0.26733	0.019452	0
-0.80004	-0.40228	-0.08281	0
-0.3624	-0.44997	0.02797	0
-2.0695	-0.2667	0.060894	0
-0.39591	-0.44609	0.059164	0
-0.090222	-0.48397	0.025503	0
-0.9315	-0.38875	0.016778	0
-1.8782	-0.28962	0.0074536	0
-0.090139	-0.48398	-0.026816	0
-0.27907	-0.45985	0.015275	0
-1.8607	-0.29164	-0.040587	0
-1.3106	-0.35022	-0.083661	0
-1.333	-0.34794	-0.015152	0
-1.1767	-0.36384	-0.043002	0
-1.1164	-0.36995	0.082644	0
-0.090184	-0.48397	0.063235	0
-0.090446	-0.48392	-0.063254	0
-1.143	-0.36725	0.065106	0
-1.8604	-0.29167	-0.02264	0
-1.3611	-0.34507	0.085223	0
-0.93552	-0.38834	-0.037443	0
-1.1841	-0.36309	0.034134	0
-1.6779	-0.31189	-0.084757	0
-0.38195	-0.4477	-0.061303	0
-2.0824	-0.26508	-0.037945	0
-0.49583	-0.4348	0.085228	0
-1.896	-0.28757	0.044061	0
-2.0879	-0.26438	-0.085617	0
-0.62861	-0.42034	0.064198	0
-1.3897	-0.34213	-0.027903	0
-0.95707	-0.38614	0.03024	0
-1.9189	-0.28493	-0.085595	0
-2.094	-0.2636	-0.064511	0
-0.23296	-0.4655	0.085833	0
-0.90576	-0.39139	0.062276	0
-1.0347	-0.37824	-0.085196	0
-1.0847	-0.37316	0.0087693	0
-0.92443	-0.38947	-0.059302	0
-1.7248	-0.3068	-0.062137	0
-0.36124	-0.45011	-0.03121	0
-0.42075	-0.44324	0.00040501	0
-2.0917	-0.2639	0.086102	0
-2.0918	-0.26387	0.033787	0
-0.65014	-0.41804	-0.010896	0
-1.7378	-0.30538	0.0018552	0
-0.48847	-0.43562	-0.085527	0
-1.5921	-0.32106	0.064793	0
-0.98051	-0.38375	0.086496	0
-1.6191	-0.31819	-0.028349	0
-1.9497	-0.2813	-0.0073808	0
-1.0469	-0.377	-0.06502	0
-0.91048	-0.3909	-0.012998	0
-1.7406	-0.30507	0.062534	0
-1.4629	-0.33458	0.029381	0
-1.755	-0.30349	0.086564	0
-0.80203	-0.40208	0.046941	0
-0.56785	-0.4269	-0.065691	0
-1.4852	-0.33227	-0.06941	0
-1.6296	-0.31708	0.012824	0
-1.8975	-0.28741	-0.067331	0
-0.068184	-0.48697	-0.00021165	0
-1.4633	-0.33454	-0.00067054	0
-0.21546	-0.46768	-0.08667	0
-1.0311	-0.3786	0.056929	0
-1.9548	-0.2807	0.087655	0
-0.068482	-0.48693	0.038342	0
-1.079	-0.37374	-0.0334	0
-0.8154	-0.40069	-0.07031	0
-2.0995	-0.2629	-0.0059158	0
-1.9836	-0.27727	0.06431	0
-0.1971	-0.46997	-0.0012053	0
-1.7793	-0.3008	0.04826	0
-1.291	-0.35222	0.04218	0
-1.5653	-0.3239	-0.086846	0
-1.3303	-0.34821	0.066221	0
-1.5976	-0.32048	0.042907	0
-0.072796	-0.48636	0.087855	0
-0.070992	-0.48661	-0.087979	0
-0.066119	-0.48726	-0.039155	0
-0.21815	-0.46732	0.043009	0
-0.24499	-0.46401	-0.051353	0
-2.0963	-0.26331	-0.026482	0
-1.1223	-0.36934	-0.019383	0
-1.7628	-0.30262	-0.047567	0
-0.90836	-0.39112	-0.087381	0
-1.6209	-0.318	0.087562	0
-1.2668	-0.35468	0.08809	0
-1.3504	-0.34616	0.013487	0
-1.035	-0.37821	-0.010688	0
-0.39666	-0.446	0.048815	0
-1.0874	-0.37288	0.039196	0
-0.2143	-0.4678	-0.017818	0
-2.108	-0.26184	0.073833	0
-1.5315	-0.32744	0.053381	0
-2.1068	-0.26197	0.0093266	0
-0.49182	-0.43526	0.02519	0
-0.54871	-0.42899	0.012902	0
-0.22714	-0.46623	-0.072891	0
-0.71511	-0.41116	0.030349	0
-1.9745	-0.27836	-0.065404	0
-0.48543	-0.43596	-0.024074	0
-0.52475	-0.4316	-0.0029044	0
-1.9312	-0.2835	-0.049542	0
-0.73859	-0.40869	-0.040101	0
-1.707	-0.30874	0.0275	0
-0.77898	-0.40447	0.072792	0
-0.047474	-0.48987	0.014283	0
-0.42408	-0.44286	-0.047017	0
-0.58365	-0.42517	0.089939	0
-0.75414	-0.40706	0.088391	0
-1.5935	-0.32091	-0.058464	0
-1.9799	-0.27771	0.015962	0
-0.21862	-0.46729	0.073172	0
-2.0145	-0.27352	0.034696	0
-0.86034	-0.39605	0.0017678	0
-2.095	-0.2635	0.049936	0
-1.843	-0.29365	0.025084	0
-1.425	-0.3385	0.07306	0
-0.58447	-0.4251	0.03475	0
-1.2933	-0.35198	-0.0547	0
-0.40778	-0.44471	-0.090196	0
-1.9423	-0.28218	-0.022791	0
-1.2353	-0.35789	0.0015923	0
-0.33886	-0.45273	0.010407	0
-1.1652	-0.365	-0.089474	0
-0.72224	-0.4104	-0.055004	0
-0.030548	-0.49227	0.074772	0
-0.030926	-0.49221	-0.074799	0
-1.824	-0.29581	0.068276	0
-1.7787	-0.30088	-0.016505	0
-0.047306	-0.48987	-0.014643	0
-0.90324	-0.39164	-0.027955	0
-1.5971	-0.32053	-0.038375	0
-0.57439	-0.42619	-0.034816	0
-0.68654	-0.41417	0.01312	0
-0.1645	-0.47415	0.061277	0
-0.16548	-0.47401	-0.057351	0
-0.67946	-0.41493	0.054067	0
-0.72742	-0.40986	-0.015368	0
-1.2346	-0.35796	-0.069817	0
-1.6824	-0.31141	0.040845	0
-0.41188	-0.44425	0.089373	0
-0.6289	-0.42031	-0.055083	0
-0.052532	-0.48913	0.053249	0
-0.043596	-0.49041	-0.054632	0
-2.1167	-0.26072	-0.054947	0
-1.835	-0.29456	-0.088898	0
-0.33959	-0.45264	0.068656	0
-0.14815	-0.47625	0.08904	0
-0.70656	-0.41206	-0.089965	0
-0.72974	-0.40961	-0.074015	0
-1.4072	-0.34033	-0.044347	0
-0.16118	-0.47457	0.020358	0
-2.0067	-0.27448	-0.089879	0
-1.5843	-0.32189	-0.0082888	0
-1.9388	-0.28259	0.052967	0
-0.14545	-0.47659	-0.038697	0
-0.8163	-0.4006	-0.058854	0
-2.1225	-0.25996	-0.074434	0
-1.2136	-0.36009	-0.016999	0
-1.4457	-0.33637	0.053225	0
-1.4612	-0.33476	-0.024913	0
-0.72275	-0.41035	0.0018871	0
-1.7142	-0.30796	-0.073374	0
-0.38047	-0.44786	-0.071041	0
-1.9212	-0.28467	0.073135	0
