"f_788-1"	"Points:0"	"Points:1"	"Points:2"
-1.5588	-0.21	0.1	0
-1.6469	-0.22	0.1	0
-1.7273	-0.23	0.1	0
-1.8006	-0.24	0.1	0
-1.9214	-0.26	0.1	0
-1.9691	-0.27	0.1	0
-2.0087	-0.28	0.1	0
-2.04	-0.29	0.1	0
-2.0631	-0.3	0.1	0
-2.0778	-0.31	0.1	0
-2.0842	-0.32	0.1	0
-2.0818	-0.33	0.1	0
-2.071	-0.34	0.1	0
-2.0517	-0.35	0.1	0
-2.024	-0.36	0.1	0
-1.988	-0.37	0.1	0
-1.944	-0.38	0.1	0
-1.892	-0.39	0.1	0
-1.8321	-0.4	0.1	0
-1.7648	-0.41	0.1	0
-1.6902	-0.42	0.1	0
-1.6085	-0.43	0.1	0
-1.5202	-0.44	0.1	0
-1.4255	-0.45	0.1	0
-1.3248	-0.46	0.1	0
-1.2186	-0.47	0.1	0
-1.1071	-0.48	0.1	0
-0.99097	-0.49	0.1	0
-0.87035	-0.5	0.09	0
-0.87038	-0.5	0.08	0
-0.87039	-0.5	0.07	0
-0.87054	-0.5	0.06	0
-0.87044	-0.5	0.05	0
-0.87057	-0.5	0.04	0
-0.8704	-0.5	0.03	0
-0.87038	-0.5	0.02	0
-0.87035	-0.5	0.01	0
-0.87049	-0.5	2.6559e-13	0
-0.87035	-0.5	-0.01	0
-0.8705	-0.5	-0.02	0
-0.8704	-0.5	-0.03	0
-0.87053	-0.5	-0.04	0
-0.87037	-0.5	-0.05	0
-0.87043	-0.5	-0.06	0
-0.87054	-0.5	-0.07	0
-0.87035	-0.5	-0.08	0
-0.87032	-0.5	-0.09	0
-1.8659	-0.25	0.09	0
-1.8655	-0.25	0.08	0
-1.8663	-0.25	0.07	0
-1.866	-0.25	0.06	0
-1.8664	-0.25	0.05	0
-1.8658	-0.25	0.04	0
-1.8657	-0.25	0.03	0
-1.8658	-0.25	0.02	0
-1.8663	-0.25	0.01	0
-1.8657	-0.25	2.6559e-13	0
-1.8658	-0.25	-0.01	0
-1.8661	-0.25	-0.02	0
-1.8657	-0.25	-0.03	0
-1.8659	-0.25	-0.04	0
-1.8662	-0.25	-0.05	0
-1.866	-0.25	-0.06	0
-1.866	-0.25	-0.07	0
-1.8657	-0.25	-0.08	0
-1.8658	-0.25	-0.09	0
2.0827	0.25	0.09	0
2.0824	0.25	0.08	0
2.083	0.25	0.07	0
2.083	0.25	0.06	0
2.083	0.25	0.05	0
2.0827	0.25	0.04	0
2.0825	0.25	0.03	0
2.0826	0.25	0.02	0
2.0831	0.25	0.01	0
2.0826	0.25	2.6559e-13	0
2.0826	0.25	-0.01	0
2.0832	0.25	-0.02	0
2.0825	0.25	-0.03	0
2.0827	0.25	-0.04	0
2.083	0.25	-0.05	0
2.0829	0.25	-0.06	0
2.0832	0.25	-0.07	0
2.0824	0.25	-0.08	0
2.0828	0.25	-0.09	0
-1.9191	-0.385	-2.0817e-17	0
-2.0841	-0.32175	0.030076	0
-2.0814	-0.33021	-0.03499	0
-1.55	-0.43669	0.036694	0
